"gemeente","dwel_type","class_2","class_1","class_3"
"Aa en Hunze","appartement",2300,1840,2760
"Aalburg","appartement",2450,1960,2940
"Aalsmeer","appartement",2300,1840,2760
"Aalten","appartement",2100,1680,2520
"Achtkarspelen","appartement",2100,1680,2520
"Alblasserdam","appartement",2100,1680,2520
"Albrandswaard","appartement",2450,1960,2940
"Alkmaar","appartement",2100,1680,2520
"Almelo","appartement",2200,1760,2640
"Almere","appartement",2350,1880,2820
"Alphen aan den Rijn","appartement",2300,1840,2760
"Alphen-Chaam","appartement",2150,1720,2580
"Ameland","appartement",2150,1720,2580
"Amersfoort","appartement",2250,1800,2700
"Amstelveen","appartement",2250,1800,2700
"Amsterdam","appartement",2150,1720,2580
"Apeldoorn","appartement",2250,1800,2700
"Appingedam","appartement",2000,1600,2400
"Arnhem","appartement",2250,1800,2700
"Assen","appartement",1950,1560,2340
"Asten","appartement",2550,2040,3060
"Baarle-Nassau","appartement",2550,2040,3060
"Baarn","appartement",2300,1840,2760
"Barendrecht","appartement",2550,2040,3060
"Barneveld","appartement",2300,1840,2760
"Bedum","appartement",2050,1640,2460
"Beek (L.)","appartement",2100,1680,2520
"Beemster","appartement",1800,1440,2160
"Beesel","appartement",2500,2000,3000
"Bellingwedde","appartement",1950,1560,2340
"Bergambacht","appartement",2100,1680,2520
"Bergeijk","appartement",2400,1920,2880
"Bergen (L.)","appartement",2350,1880,2820
"Bergen (NH.)","appartement",2050,1640,2460
"Bergen op Zoom","appartement",2400,1920,2880
"Berkelland","appartement",2200,1760,2640
"Bernheze","appartement",2350,1880,2820
"Bernisse","appartement",2100,1680,2520
"Best","appartement",2250,1800,2700
"Beuningen","appartement",2300,1840,2760
"Beverwijk","appartement",2150,1720,2580
"het Bildt","appartement",1550,1240,1860
"De Bilt","appartement",2450,1960,2940
"Binnenmaas","appartement",2300,1840,2760
"Bladel","appartement",2550,2040,3060
"Blaricum","appartement",2900,2320,3480
"Bloemendaal","appartement",2250,1800,2700
"Boarnsterhim","appartement",1800,1440,2160
"Bodegraven-Reeuwijk","appartement",2100,1680,2520
"Boekel","appartement",2350,1880,2820
"Ten Boer","appartement",1950,1560,2340
"Borger-Odoorn","appartement",2200,1760,2640
"Borne","appartement",2200,1760,2640
"Borsele","appartement",2000,1600,2400
"Boskoop","appartement",2300,1840,2760
"Boxmeer","appartement",2200,1760,2640
"Boxtel","appartement",2200,1760,2640
"Breda","appartement",2300,1840,2760
"Brielle","appartement",2500,2000,3000
"Bronckhorst","appartement",2450,1960,2940
"Brummen","appartement",2500,2000,3000
"Brunssum","appartement",2200,1760,2640
"Bunnik","appartement",2050,1640,2460
"Bunschoten","appartement",2350,1880,2820
"Buren","appartement",2500,2000,3000
"Bussum","appartement",2200,1760,2640
"Capelle aan den IJssel","appartement",2450,1960,2940
"Castricum","appartement",1950,1560,2340
"Coevorden","appartement",2000,1600,2400
"Cranendonck","appartement",2400,1920,2880
"Cromstrijen","appartement",2600,2080,3120
"Cuijk","appartement",2150,1720,2580
"Culemborg","appartement",2200,1760,2640
"Dalfsen","appartement",2100,1680,2520
"Dantumadiel","appartement",1850,1480,2220
"Delft","appartement",2300,1840,2760
"Delfzijl","appartement",1950,1560,2340
"Deurne","appartement",2400,1920,2880
"Deventer","appartement",2300,1840,2760
"Diemen","appartement",2550,2040,3060
"Dinkelland","appartement",2300,1840,2760
"Dirksland","appartement",2050,1640,2460
"Doesburg","appartement",2250,1800,2700
"Doetinchem","appartement",2050,1640,2460
"Dongen","appartement",2450,1960,2940
"Dongeradeel","appartement",1950,1560,2340
"Dordrecht","appartement",2200,1760,2640
"Drechterland","appartement",2150,1720,2580
"Drimmelen","appartement",2300,1840,2760
"Dronten","appartement",2450,1960,2940
"Druten","appartement",2200,1760,2640
"Duiven","appartement",2050,1640,2460
"Echt-Susteren","appartement",2250,1800,2700
"Edam-Volendam","appartement",2300,1840,2760
"Ede","appartement",2200,1760,2640
"Eemnes","appartement",2350,1880,2820
"Eemsmond","appartement",1800,1440,2160
"Eersel","appartement",2350,1880,2820
"Eijsden-Margraten","appartement",2500,2000,3000
"Eindhoven","appartement",2100,1680,2520
"Elburg","appartement",2350,1880,2820
"Emmen","appartement",2250,1800,2700
"Enkhuizen","appartement",2150,1720,2580
"Enschede","appartement",2250,1800,2700
"Epe","appartement",2450,1960,2940
"Ermelo","appartement",2150,1720,2580
"Etten-Leur","appartement",2350,1880,2820
"Ferwerderadiel","appartement",2550,2040,3060
"Franekeradeel","appartement",1800,1440,2160
"Gaasterlan-Sleat","appartement",1750,1400,2100
"Geertruidenberg","appartement",2300,1840,2760
"Geldermalsen","appartement",2300,1840,2760
"Geldrop-Mierlo","appartement",2150,1720,2580
"Gemert-Bakel","appartement",2300,1840,2760
"Gennep","appartement",2600,2080,3120
"Giessenlanden","appartement",2150,1720,2580
"Gilze en Rijen","appartement",2300,1840,2760
"Goedereede","appartement",2400,1920,2880
"Goes","appartement",1950,1560,2340
"Goirle","appartement",2900,2320,3480
"Gorinchem","appartement",2250,1800,2700
"Gouda","appartement",2150,1720,2580
"Graafstroom","appartement",1850,1480,2220
"Graft-De Rijp","appartement",2650,2120,3180
"Grave","appartement",2350,1880,2820
"'s-Gravenhage (gemeente)","appartement",2300,1840,2760
"Groesbeek","appartement",2150,1720,2580
"Groningen (gemeente)","appartement",2100,1680,2520
"Grootegast","appartement",2000,1600,2400
"Gulpen-Wittem","appartement",2200,1760,2640
"Haaksbergen","appartement",2150,1720,2580
"Haaren","appartement",2200,1760,2640
"Haarlem","appartement",2200,1760,2640
"Haarlemmerliede en Spaarnwoude","appartement",2350,1880,2820
"Haarlemmermeer","appartement",2250,1800,2700
"Halderberge","appartement",2100,1680,2520
"Hardenberg","appartement",2400,1920,2880
"Harderwijk","appartement",2300,1840,2760
"Hardinxveld-Giessendam","appartement",2100,1680,2520
"Haren","appartement",2150,1720,2580
"Harenkarspel","appartement",1900,1520,2280
"Harlingen","appartement",2050,1640,2460
"Hattem","appartement",2100,1680,2520
"Heemskerk","appartement",2150,1720,2580
"Heemstede","appartement",2300,1840,2760
"Heerde","appartement",2150,1720,2580
"Heerenveen","appartement",1950,1560,2340
"Heerhugowaard","appartement",2050,1640,2460
"Heerlen","appartement",2150,1720,2580
"Heeze-Leende","appartement",2250,1800,2700
"Heiloo","appartement",2150,1720,2580
"Den Helder","appartement",2000,1600,2400
"Hellendoorn","appartement",2250,1800,2700
"Hellevoetsluis","appartement",2500,2000,3000
"Helmond","appartement",2300,1840,2760
"Hendrik-Ido-Ambacht","appartement",2100,1680,2520
"Hengelo (O.)","appartement",2350,1880,2820
"'s-Hertogenbosch","appartement",2350,1880,2820
"Heumen","appartement",2550,2040,3060
"Heusden","appartement",2300,1840,2760
"Hillegom","appartement",2200,1760,2640
"Hilvarenbeek","appartement",2750,2200,3300
"Hilversum","appartement",2150,1720,2580
"Hof van Twente","appartement",2350,1880,2820
"Hollands Kroon","appartement",2100,1680,2520
"Hoogeveen","appartement",2000,1600,2400
"Hoogezand-Sappemeer","appartement",2050,1640,2460
"Hoorn","appartement",2150,1720,2580
"Horst aan de Maas","appartement",2350,1880,2820
"Houten","appartement",2350,1880,2820
