Date & time;Dag;Profile E1a [kWh];Profile E1b [kWh];Totaal;;uurfractie E
01-01-2009 01:00:00;1,00;2082,463124;2131,541477;4214,004602;;0,00013489
01-01-2009 02:00:00;1,00;1727,261471;1849,974698;3577,236169;;0,00011450
01-01-2009 03:00:00;1,00;1354,83595;1427,024814;2781,860764;;0,00008905
01-01-2009 04:00:00;1,00;1047,406156;1212,926113;2260,33227;;0,00007235
01-01-2009 05:00:00;1,00;953,6498188;1069,743859;2023,393678;;0,00006477
01-01-2009 06:00:00;1,00;936,5884402;1025,364856;1961,953297;;0,00006280
01-01-2009 07:00:00;1,00;1016,858164;1083,537332;2100,395497;;0,00006723
01-01-2009 08:00:00;1,00;1216,395049;1290,889225;2507,284275;;0,00008026
01-01-2009 09:00:00;1,00;1672,66506;1407,983823;3080,648883;;0,00009861
01-01-2009 10:00:00;1,00;1978,957428;1654,017414;3632,974842;;0,00011629
01-01-2009 11:00:00;1,00;2278,587734;2311,156494;4589,744227;;0,00014691
01-01-2009 12:00:00;1,00;2421,415846;2453,589103;4875,004949;;0,00015605
01-01-2009 13:00:00;1,00;2550,919834;2312,655784;4863,575618;;0,00015568
01-01-2009 14:00:00;1,00;2516,147119;2363,031949;4879,179069;;0,00015618
01-01-2009 15:00:00;1,00;2584,067655;2377,125281;4961,192936;;0,00015880
01-01-2009 16:00:00;1,00;2539,545582;2281,770397;4821,315979;;0,00015433
01-01-2009 17:00:00;1,00;3183,003289;2789,879989;5972,883278;;0,00019119
01-01-2009 18:00:00;1,00;3483,121062;3354,962625;6838,083687;;0,00021888
01-01-2009 19:00:00;1,00;3599,300926;3415,384037;7014,684963;;0,00022454
01-01-2009 20:00:00;1,00;3300,158088;3275,200364;6575,358452;;0,00021047
01-01-2009 21:00:00;1,00;3123,694687;2835,458424;5959,153111;;0,00019075
01-01-2009 22:00:00;1,00;2858,187138;2576,081147;5434,268285;;0,00017395
01-01-2009 23:00:00;1,00;2242,027637;2252,53423;4494,561867;;0,00014387
01-02-2009 00:00:00;1,00;1721,899324;1980,412982;3702,312306;;0,00011851
01-02-2009 01:00:00;2,00;1246,943041;1546,518277;2793,461318;;0,00008942
01-02-2009 02:00:00;2,00;1012,633442;1203,030795;2215,664237;;0,00007092
01-02-2009 03:00:00;2,00;927,8140169;1000,176774;1927,990791;;0,00006171
01-02-2009 04:00:00;2,00;901,8157257;909,3197622;1811,135488;;0,00005797
01-02-2009 05:00:00;2,00;930,901314;900,3240185;1831,225332;;0,00005862
01-02-2009 06:00:00;2,00;1027,094991;1086,985701;2114,080692;;0,00006767
01-02-2009 07:00:00;2,00;1286,427946;1363,155033;2649,582979;;0,00008481
01-02-2009 08:00:00;2,00;1771,133587;1801,69754;3572,831128;;0,00011436
01-02-2009 09:00:00;2,00;2250,477081;1943,380504;4193,857585;;0,00013424
01-02-2009 10:00:00;2,00;2527,358883;1839,779522;4367,138405;;0,00013979
01-02-2009 11:00:00;2,00;2501,360591;1749,972014;4251,332605;;0,00013608
01-02-2009 12:00:00;2,00;2554,16962;1887,157106;4441,326726;;0,00014216
01-02-2009 13:00:00;2,00;2549,132451;1844,127465;4393,259916;;0,00014063
01-02-2009 14:00:00;2,00;2471,137578;1877,561646;4348,699224;;0,00013920
01-02-2009 15:00:00;2,00;2456,35105;1792,10208;4248,45313;;0,00013599
01-02-2009 16:00:00;2,00;2827,476656;2076,517511;4903,994168;;0,00015697
01-02-2009 17:00:00;2,00;3591,988907;2810,420271;6402,409178;;0,00020494
01-02-2009 18:00:00;2,00;3799,650258;3281,797242;7081,4475;;0,00022667
01-02-2009 19:00:00;2,00;3777,064242;3238,017956;7015,082198;;0,00022455
01-02-2009 20:00:00;2,00;3674,046013;2945,506356;6619,552369;;0,00021189
01-02-2009 21:00:00;2,00;3249,62391;2664,98908;5914,61299;;0,00018932
01-02-2009 22:00:00;2,00;3053,011833;2535,900158;5588,91199;;0,00017890
01-02-2009 23:00:00;2,00;2532,071073;2381,023437;4913,094509;;0,00015726
01-03-2009 00:00:00;2,00;1870,089583;2007,250285;3877,339868;;0,00012411
01-03-2009 01:00:00;3,00;1335,012253;1434,07148;2769,083733;;0,00008864
01-03-2009 02:00:00;3,00;1034,731989;1153,854063;2188,586052;;0,00007006
01-03-2009 03:00:00;3,00;937,5633761;1033,910813;1971,474189;;0,00006311
01-03-2009 04:00:00;3,00;910,9151276;946,9519568;1857,867084;;0,00005947
01-03-2009 05:00:00;3,00;896,7785568;943,6535174;1840,432074;;0,00005891
01-03-2009 06:00:00;3,00;969,0863042;1025,214927;1994,301231;;0,00006384
01-03-2009 07:00:00;3,00;1131,738113;1216,67434;2348,412453;;0,00007517
01-03-2009 08:00:00;3,00;1717,349623;1621,782666;3339,132288;;0,00010688
01-03-2009 09:00:00;3,00;2491,448743;2156,72956;4648,178302;;0,00014878
01-03-2009 10:00:00;3,00;2861,924392;2518,508387;5380,432779;;0,00017222
01-03-2009 11:00:00;3,00;2918,633165;2575,181572;5493,814737;;0,00017585
01-03-2009 12:00:00;3,00;3050,249514;2685,079575;5735,329089;;0,00018358
