"Regio's";"Perioden";"m3";"m3";"m3";"m3";"m3";"m3";"%";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Aa en Hunze";"2010";"2700";"1500";"1900";"2250";"2350";"3250";"0.0";"3700";"2300";"2650";"3000";"3550";"4300"
"Aa en Hunze";"2011";"2100";"1100";"1450";"1750";"1850";"2550";"0.0";"3700";"2200";"2650";"2950";"3550";"4300"
"Aa en Hunze";"2012*";"2300";"1200";"1600";"1850";"2000";"2750";"0.0";"3650";"2300";"2600";"2950";"3500";"4200"
"Aalburg";"2010";"2450";"1100";"1950";"2100";"2500";"3150";"0.0";"4200";"2400";"3500";"3600";"4300";"5050"
"Aalburg";"2011";"1850";"850";"1450";"1600";"1950";"2400";"0.0";"4100";"2450";"3450";"3550";"4300";"4950"
"Aalburg";"2012*";"1950";"950";"1600";"1750";"2100";"2600";"0.0";"3900";"2450";"3450";"3500";"4250";"4900"
"Aalsmeer";"2010";"2000";"1100";"1700";"2000";"2550";"3250";"0.0";"3700";"2250";"3600";"3800";"4350";"4750"
"Aalsmeer";"2011";"1550";"850";"1350";"1550";"2000";"2550";"0.0";"3750";"2300";"3650";"3800";"4400";"4750"
"Aalsmeer";"2012*";"1600";"900";"1400";"1650";"2100";"2650";"0.0";"3600";"2300";"3550";"3750";"4300";"4800"
"Aalten";"2010";"2150";"1150";"1650";"1850";"2150";"2900";"0.0";"3500";"2050";"2950";"3100";"3800";"4400"
"Aalten";"2011";"1700";"900";"1350";"1500";"1750";"2350";"0.0";"3550";"2150";"3000";"3100";"3850";"4450"
"Aalten";"2012*";"1750";"950";"1350";"1550";"1800";"2400";"0.0";"3400";"2100";"2900";"3000";"3700";"4300"
"Achtkarspelen";"2010";"2350";"1400";"1900";"2150";"2200";"2800";"0.0";"3150";"2050";"2450";"2700";"3300";"3700"
"Achtkarspelen";"2011";"1850";"1050";"1450";"1700";"1700";"2150";"0.0";"3200";"2050";"2450";"2750";"3350";"3750"
"Achtkarspelen";"2012*";"1950";"1200";"1550";"1800";"1800";"2250";"0.0";"3150";"2100";"2450";"2700";"3250";"3650"
"Alblasserdam";"2010";"1750";"1250";"1700";"2050";"2400";"3100";"0.0";"3200";"2150";"3350";"3550";"4150";"4850"
"Alblasserdam";"2011";"1350";"950";"1300";"1600";"1900";"2450";"0.0";"3150";"2150";"3300";"3600";"4150";"4850"
"Alblasserdam";"2012*";"1450";"1100";"1350";"1650";"1900";"2500";"0.0";"3050";"2100";"3200";"3450";"4050";"4750"
"Albrandswaard";"2010";"1850";"1050";"1600";"2000";"2350";"3200";"0.0";"3650";"2450";"3450";"3750";"4200";"5100"
"Albrandswaard";"2011";"1400";"800";"1200";"1550";"1850";"2500";"0.0";"3600";"2450";"3400";"3700";"4200";"5100"
"Albrandswaard";"2012*";"1450";"850";"1300";"1600";"1900";"2500";"0.0";"3450";"2450";"3300";"3600";"4050";"4900"
"Alkmaar";"2010";"1650";"1200";"1700";"2050";"2300";"3000";"0.0";"3000";"2150";"3200";"3400";"3900";"4500"
"Alkmaar";"2011";"1300";"950";"1350";"1600";"1850";"2350";"0.0";"2950";"2150";"3150";"3350";"3850";"4450"
"Alkmaar";"2012*";"1400";"1050";"1400";"1700";"1950";"2500";"0.0";"2850";"2100";"3100";"3300";"3750";"4300"
"Almelo";"2010";"2050";"1450";"1800";"2100";"2450";"3200";"0.0";"3350";"2300";"3200";"3400";"3900";"4600"
"Almelo";"2011";"1650";"1050";"1400";"1700";"2000";"2650";"0.0";"3300";"2200";"3200";"3400";"3900";"4600"
"Almelo";"2012*";"1750";"1150";"1550";"1850";"2150";"2850";"0.0";"3250";"2200";"3150";"3350";"3850";"4500"
"Almere";"2010";"650";"400";"600";"750";"1100";"1550";"58.0";"3600";"2350";"3750";"3900";"4900";"5500"
